,Region,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
AP,CAN,0.511577,0.384442873,0.296180152,0.270548525,0.253917403,0.23825319,0.222531806,0.207223191,0.193133024,0.179851752,0.166223674,0.151848275,0.137487938,0.124092141,0.111771679,0.100312948,0.09022572,0.120326193,0.120326047,0.120325876,0.120325862,0.120325852,0.120325772,0.120325753,0.120325679,0.120325654,0.120325594
AP,USA,5.39382,4.05337937,3.122780009,2.852532555,2.677182063,2.512026187,2.346267531,2.184860913,2.036301021,1.896269726,1.752581877,1.601014631,1.4496062,1.308367403,1.178466419,1.057651116,0.95129627,1.268661071,1.268659534,1.268657733,1.268657582,1.268657481,1.268656637,1.268656435,1.268655654,1.26865539,1.26865476
AP,MEX,0.572878,0.430509707,0.331670684,0.302967683,0.284343694,0.266802477,0.249197239,0.232054231,0.216275674,0.20140294,0.186141844,0.170043876,0.153962776,0.138961793,0.125165001,0.112333199,0.101037243,0.134744581,0.134744418,0.134744227,0.134744211,0.1347442,0.13474411,0.134744089,0.134744006,0.134743978,0.134743911
AP,RCAM,0.302334,0.227199721,0.175037834,0.159889944,0.150061211,0.140803906,0.131512814,0.122465662,0.114138594,0.106289571,0.09823559,0.089739954,0.08125322,0.073336513,0.066055313,0.059283382,0.053321988,0.071110897,0.07111081,0.071110709,0.071110701,0.071110695,0.071110648,0.071110637,0.071110593,0.071110578,0.071110543
AP,BRA,1.57743,1.185416313,0.913261264,0.834227028,0.782945538,0.734645477,0.686169133,0.638965548,0.595519005,0.554566662,0.512544955,0.468218908,0.423939306,0.382633828,0.344644108,0.309311508,0.278207889,0.371021657,0.371021207,0.371020681,0.371020636,0.371020607,0.37102036,0.371020301,0.371020073,0.371019995,0.371019811
AP,RSAM,1.38348,1.039665634,0.800972907,0.731656181,0.686679912,0.644318496,0.601802471,0.560402716,0.522298063,0.48638094,0.449525934,0.410649915,0.37181463,0.33558779,0.302269027,0.271280682,0.24400135,0.325403373,0.325402978,0.325402516,0.325402478,0.325402452,0.325402235,0.325402183,0.325401983,0.325401915,0.325401754
AP,NAF,0.583268,0.438317645,0.337686028,0.308462455,0.289500693,0.27164134,0.253716804,0.236262881,0.220198157,0.205055684,0.189517805,0.173127876,0.156755121,0.141482074,0.127435055,0.11437053,0.102869705,0.137188376,0.13718821,0.137188015,0.137187999,0.137187988,0.137187896,0.137187875,0.13718779,0.137187762,0.137187693
AP,WAF,1.817,1.365449777,1.051961555,0.960924104,0.901854309,0.846218743,0.790380121,0.736007557,0.68596263,0.638790707,0.590387011,0.539329007,0.488324502,0.440745811,0.396986455,0.356287766,0.320460327,0.427370058,0.42736954,0.427368933,0.427368883,0.427368849,0.427368564,0.427368496,0.427368233,0.427368144,0.427367932
AP,EAF,0.283526,0.213065775,0.164148845,0.149943295,0.140726002,0.132044587,0.123331488,0.114847154,0.107038107,0.099677366,0.092124418,0.08415729,0.07619851,0.068774297,0.061946055,0.055595402,0.050004862,0.066687134,0.066687054,0.066686959,0.066686951,0.066686946,0.066686901,0.066686891,0.06668685,0.066686836,0.066686803
AP,SAF,0.507151,0.381116797,0.293617697,0.268207826,0.251720591,0.2361919,0.220606532,0.205430362,0.191462099,0.178295733,0.16478556,0.150534532,0.136298437,0.123018535,0.110804666,0.099445073,0.089445116,0.119285169,0.119285025,0.119284855,0.119284841,0.119284832,0.119284752,0.119284733,0.11928466,0.119284635,0.119284576
AP,WEU,3.13174,2.353458274,1.813137084,1.656226998,1.554415638,1.458523438,1.362281255,1.268565936,1.182309636,1.101005179,1.017577666,0.929575247,0.841665039,0.759659486,0.684236853,0.614089515,0.552338154,0.736605342,0.736604449,0.736603403,0.736603316,0.736603257,0.736602767,0.73660265,0.736602196,0.736602043,0.736601677
AP,CEU,0.784933,0.589866037,0.454441023,0.415113396,0.389595602,0.365561374,0.341439427,0.317950809,0.296331704,0.275953718,0.255043615,0.232986866,0.210953229,0.190399522,0.171495745,0.153914158,0.138436921,0.184621278,0.184621054,0.184620792,0.18462077,0.184620755,0.184620633,0.184620603,0.18462049,0.184620451,0.184620359
AP,TUR,0.435783,0.327484755,0.252298824,0.230464716,0.21629762,0.202954179,0.189562036,0.176521509,0.164518906,0.153205355,0.14159638,0.129350805,0.117118061,0.105706952,0.095211859,0.085450826,0.076858097,0.102498958,0.102498833,0.102498688,0.102498676,0.102498668,0.102498599,0.102498583,0.10249852,0.102498499,0.102498448
AP,UKR,0.403864,0.303498079,0.233819153,0.213584289,0.200454864,0.188088765,0.175677533,0.163592161,0.152468691,0.141983803,0.131225129,0.119876483,0.108539728,0.097964428,0.088238051,0.079191966,0.071228613,0.094991404,0.094991289,0.094991154,0.094991143,0.094991135,0.094991072,0.094991057,0.094990998,0.094990979,0.094990931
AP,STAN,0.485141,0.364576593,0.280874893,0.256567794,0.240796093,0.225941336,0.211032362,0.196514828,0.183152777,0.170557822,0.157633982,0.144001439,0.13038318,0.117679617,0.105995821,0.095129226,0.08556326,0.114108276,0.114108138,0.114107976,0.114107962,0.114107953,0.114107877,0.114107859,0.114107789,0.114107765,0.114107708
AP,RUS,1.8782,1.41144071,1.087393612,0.993289848,0.93223047,0.874720993,0.81700162,0.760797685,0.70906715,0.660306388,0.610272364,0.557494629,0.504772196,0.455590964,0.410357711,0.368288213,0.331254038,0.441764691,0.441764156,0.441763528,0.441763476,0.441763441,0.441763147,0.441763076,0.441762805,0.441762712,0.441762493
AP,ME,2.00627,1.507683502,1.161540402,1.061019925,0.995797053,0.934366141,0.872711021,0.812674673,0.757416756,0.705331113,0.651885388,0.595508865,0.539191414,0.486656631,0.438339029,0.393400912,0.353841464,0.471887576,0.471887005,0.471886335,0.471886279,0.471886241,0.471885927,0.471885852,0.471885562,0.471885463,0.471885229
AP,INDIA,2.77719,2.087018968,1.607868526,1.468722517,1.378437407,1.293401338,1.208054908,1.124949271,1.048458204,0.976358373,0.902375842,0.824336337,0.746378604,0.67365705,0.60677315,0.54456732,0.489806943,0.653212907,0.653212115,0.653211188,0.65321111,0.653211058,0.653210624,0.65321052,0.653210118,0.653209981,0.653209657
AP,KOR,0.784572,0.589594751,0.454232021,0.41492248,0.389416422,0.365393248,0.341282395,0.317804579,0.296195417,0.275826804,0.254926317,0.232879713,0.210856209,0.190311955,0.171416872,0.153843371,0.138373253,0.184536368,0.184536145,0.184535883,0.184535861,0.184535846,0.184535723,0.184535694,0.18453558,0.184535542,0.18453545
AP,CHN,11.3913,8.560400684,6.595052101,6.024311916,5.653986236,5.305190739,4.955122218,4.614244843,4.300498685,4.004764218,3.70130741,3.381209972,3.061447936,2.763163323,2.48882323,2.233671343,2.009058737,2.679306848,2.679303602,2.679299798,2.679299478,2.679299265,2.679297483,2.679297057,2.679295408,2.679294849,2.679293519
