,Region,CBR
0,BRA,2.1830305846924913
1,CAN,2.595210633398123
2,CEU,2.8207602289472953
3,CHN,1.3072624093601193
4,EAF,9.755028806034954
5,INDIA,5.789468909340046
6,INDO,4.765445215567096
7,JAP,3.355373192314803
8,KOR,3.061473752407926
9,ME,0.8562154553380615
10,MEX,3.662703265490167
11,NAF,6.146542119851293
12,OCE,3.8719486173383064
13,RCAM,2.9801068990338364
14,RSAF,5.67114308837237
15,RSAM,2.599441229147013
16,RSAS,3.9091810456278364
17,RUS,0.9138460878937161
18,SAF,2.7862684576860017
19,SEAS,4.232936103956453
20,STAN,0.9402148984001554
21,TUR,1.3383391241059104
22,UKR,0.8431471747792559
23,USA,2.1211315099479098
24,WAF,8.208612472770604
25,WEU,2.1684491133496824
