,Region,CBR,Burden sharing regime
0,CAN,2.595210633398123,GF
1,USA,2.1211315099479098,GF
2,MEX,3.662703265490167,GF
3,RCAM,2.9801068990338364,GF
4,BRA,2.183030584692492,GF
5,RSAM,2.599441229147013,GF
6,NAF,6.146542119851293,GF
7,WAF,8.208612472770604,GF
8,EAF,9.755028806034954,GF
9,SAF,2.7862684576860017,GF
10,WEU,2.1684491133496824,GF
11,CEU,2.8207602289472957,GF
12,TUR,1.3383391241059104,GF
13,UKR,0.8431471747792559,GF
14,STAN,0.9402148984001554,GF
15,RUS,0.913846087893716,GF
16,ME,0.8562154553380615,GF
17,INDIA,5.789468909340046,GF
18,KOR,3.061473752407926,GF
19,CHN,1.3072624093601193,GF
20,SEAS,4.232936103956453,GF
21,INDO,4.765445215567096,GF
22,JAP,3.355373192314803,GF
23,OCE,3.8719486173383055,GF
24,RSAS,3.909181045627837,GF
25,RSAF,5.67114308837237,GF
0,CAN,2.094092704408922,IEPC
1,USA,1.561252596579564,IEPC
2,MEX,3.881590919908944,IEPC
3,RCAM,3.346033362916786,IEPC
4,BRA,1.852735004968587,IEPC
5,RSAM,2.480709515687161,IEPC
6,NAF,7.688852060956515,IEPC
7,WAF,12.20431790758767,IEPC
8,EAF,39.351629872315165,IEPC
9,SAF,2.443405900332422,IEPC
10,WEU,1.9171258103396471,IEPC
11,CEU,2.4131076695655023,IEPC
12,TUR,1.3588929688794575,IEPC
13,UKR,0.7213544316698516,IEPC
14,STAN,0.8466926527094742,IEPC
15,RUS,0.7083405916469401,IEPC
16,ME,0.8337550478756804,IEPC
17,INDIA,7.547707852308803,IEPC
18,KOR,2.151778719648803,IEPC
19,CHN,0.9849153274440337,IEPC
20,SEAS,4.655385639852365,IEPC
21,INDO,4.370429901675296,IEPC
22,JAP,2.465836572264821,IEPC
23,OCE,3.3054248464448714,IEPC
24,RSAS,6.574273508951864,IEPC
25,RSAF,6.966069735715773,IEPC
0,CAN,2.163613234377203,PCC
1,USA,1.6143172540873427,PCC
2,MEX,3.83097403554949,PCC
3,RCAM,3.2836576981591423,PCC
4,BRA,1.845245194934416,PCC
5,RSAM,2.4597357673951485,PCC
6,NAF,7.531565716374872,PCC
7,WAF,11.710848104149967,PCC
8,EAF,29.65668022893646,PCC
9,SAF,2.4745250066159667,PCC
10,WEU,1.942832713805787,PCC
11,CEU,2.432919132324205,PCC
