,Region,0,Burden sharing
0,CAN,0.02165458718319632,GF
1,USA,-1.0276035266414072,GF
2,MEX,-0.048867080329547515,GF
3,RCAM,0.24249343492628803,GF
4,BRA,-1.7200057628382495,GF
5,RSAM,-1.626488548658224,GF
6,NAF,0.9684866269154937,GF
7,WAF,-0.7977239388787094,GF
8,EAF,0.6371347878492117,GF
9,SAF,-0.17789996412417897,GF
10,WEU,1.0989831775400716,GF
11,CEU,-0.09307168181046846,GF
12,TUR,0.25616304991497846,GF
13,UKR,0.01918606762628808,GF
14,STAN,0.30069052673461466,GF
15,RUS,0.3681712666709908,GF
16,ME,1.5999278228951233,GF
17,INDIA,2.3342988822398523,GF
18,KOR,-0.21454508829910196,GF
19,CHN,-4.709273566602197,GF
20,SEAS,0.525007389352299,GF
21,INDO,-0.23129125959009833,GF
22,JAP,-0.35399189090521266,GF
23,OCE,-0.22068385377708213,GF
24,RSAS,1.8382107803913426,GF
25,RSAF,1.0110377622147178,GF
26,CAN,0.21493141188262022,IEPC
27,USA,1.336300349933111,IEPC
28,MEX,-0.12147664273074879,IEPC
29,RCAM,0.11109063390208049,IEPC
30,BRA,-1.2688153343018966,IEPC
31,RSAM,-1.4646944360805414,IEPC
32,NAF,0.5953168781258935,IEPC
33,WAF,-3.4070936305150648,IEPC
34,EAF,-1.373817088514084,IEPC
35,SAF,-0.015698328089197803,IEPC
36,WEU,1.81590547168,IEPC
37,CEU,0.13024258613088532,IEPC
38,TUR,0.2467236174406358,IEPC
39,UKR,0.16181325524710147,IEPC
40,STAN,0.4147150819618912,IEPC
41,RUS,1.2397001507651195,IEPC
42,ME,1.6753751747588284,IEPC
43,INDIA,-1.117193971638984,IEPC
44,KOR,0.16707551370992918,IEPC
45,CHN,0.1812680520382525,IEPC
46,SEAS,0.18276780323948608,IEPC
47,INDO,0.0980494833887286,IEPC
48,JAP,0.11431664319400303,IEPC
49,OCE,-0.11126503854958508,IEPC
50,RSAS,-0.200176549718654,IEPC
51,RSAF,0.39463891274017937,IEPC
52,CAN,0.19633383268910404,PCC
53,USA,1.1683205841852768,PCC
54,MEX,-0.11242111823561829,PCC
55,RCAM,0.12280407148515168,PCC
56,BRA,-1.2621627992574787,PCC
57,RSAM,-1.449370007938142,PCC
58,NAF,0.6122645389908772,PCC
59,WAF,-3.3108790305330964,PCC
60,EAF,-1.2709604051480314,PCC
61,SAF,-0.0243790826881126,PCC
62,WEU,1.770911818001329,PCC
63,CEU,0.12441456940910392,PCC
64,TUR,0.24266048453100145,PCC
65,UKR,0.15277881706955448,PCC
66,STAN,0.40012309778580657,PCC
67,RUS,1.1556529035259244,PCC
68,ME,1.6287210354290953,PCC
69,INDIA,-0.8656450399219856,PCC
70,KOR,0.14318184980489404,PCC
71,CHN,-0.03343828232263773,PCC
72,SEAS,0.2034028345460682,PCC
73,INDO,0.0880217508189624,PCC
74,JAP,0.09795696287373754,PCC
75,OCE,-0.11867428158041599,PCC
76,RSAS,-0.06324768689764637,PCC
77,RSAF,0.4036285833772684,PCC
78,CAN,0.21493141188262022,IEPC
79,USA,1.336300349933111,IEPC
80,MEX,-0.12147664273074879,IEPC
81,RCAM,0.11109063390208049,IEPC
82,BRA,-1.2688153343018966,IEPC
83,RSAM,-1.4646944360805414,IEPC
84,NAF,0.5953168781258935,IEPC
85,WAF,-3.4070936305150648,IEPC
86,EAF,-1.373817088514084,IEPC
87,SAF,-0.015698328089197803,IEPC
88,WEU,1.81590547168,IEPC
89,CEU,0.13024258613088532,IEPC
90,TUR,0.2467236174406358,IEPC
91,UKR,0.16181325524710147,IEPC
92,STAN,0.4147150819618912,IEPC
93,RUS,1.2397001507651195,IEPC
94,ME,1.6753751747588284,IEPC
95,INDIA,-1.117193971638984,IEPC
96,KOR,0.16707551370992918,IEPC
97,CHN,0.1812680520382525,IEPC
98,SEAS,0.18276780323948608,IEPC
99,INDO,0.0980494833887286,IEPC
100,JAP,0.11431664319400303,IEPC
101,OCE,-0.11126503854958508,IEPC
102,RSAS,-0.200176549718654,IEPC
103,RSAF,0.39463891274017937,IEPC
104,CAN,0.3000298432889116,AP
105,USA,1.678895126634629,AP
106,MEX,0.0655902330904434,AP
107,RCAM,0.32617777907114565,AP
108,BRA,-1.545125176232642,AP
109,RSAM,-1.460019748795252,AP
110,NAF,0.6622758810336434,AP
111,WAF,-3.5305499380979493,AP
112,EAF,-0.8486095670639815,AP
113,SAF,-0.1845811536331573,AP
114,WEU,2.7288791409896542,AP
115,CEU,0.2297674549635485,AP
116,TUR,0.2990156890038032,AP
117,UKR,0.04957012453444718,AP
118,STAN,0.2583242088255837,AP
119,RUS,0.948353004065159,AP
120,ME,0.9281436556555761,AP
121,INDIA,-1.5399867870085195,AP
122,KOR,0.20183557846628714,AP
123,CHN,1.0499339939679846,AP
124,SEAS,-0.08101600708497668,AP
125,INDO,0.008784455663566986,AP
126,JAP,0.2222018980346345,AP
127,OCE,-0.053199039481136634,AP
128,RSAS,-0.7503151651668328,AP
129,RSAF,0.035624515275417365,AP
130,CAN,0.17054676028519655,GDR
131,USA,-0.34376412614239404,GDR
132,MEX,0.134947177344602,GDR
133,RCAM,0.5599745608475978,GDR
134,BRA,-1.7921344001467674,GDR
135,RSAM,-1.4709631764974773,GDR
136,NAF,0.8896611733834541,GDR
137,WAF,-0.7075418939403545,GDR
138,EAF,0.22625928578722396,GDR
139,SAF,-0.2202254478354888,GDR
140,WEU,1.967928453840414,GDR
141,CEU,0.01049902156968742,GDR
142,TUR,0.23266089490711367,GDR
143,UKR,0.029672506552629097,GDR
144,STAN,0.24553886822559567,GDR
145,RUS,0.5118704570065511,GDR
146,ME,1.1906346983536436,GDR
147,INDIA,-0.22276388315600493,GDR
148,KOR,0.016263252210181486,GDR
149,CHN,-2.92400732614763,GDR
150,SEAS,0.19238203468719833,GDR
151,INDO,0.035012216000463864,GDR
152,JAP,-0.2293806711893077,GDR
153,OCE,-0.15331786636049974,GDR
154,RSAS,0.7838161073584675,GDR
155,RSAF,0.8664313230559018,GDR
