Region,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
CAN,0.511577,0.38444287312427056,0.29618015227010597,0.2705485253593089,0.25391740333874585,0.23825318992876124,0.22253180576363163,0.20722319086627536,0.19313302395422408,0.1798517521374025,0.16622367427581275,0.15184827487941957,0.13748793821469021,0.12409214077026691,0.1117716785137877,0.10031294800289137,0.09022571977314225,0.12032619273016791,0.12032604696565116,0.12032587611052084,0.12032586177302738,0.1203258522146984,0.12032577216369328,0.12032575304703533,0.12032567896998585,0.1203256538793723,0.12032559413981624
USA,5.393819999999999,4.053379369899649,3.122780009495233,2.8525325553211878,2.6771820634559296,2.5120261874586833,2.346267530721654,2.1848609131339627,2.036301020696343,1.896269726187386,1.7525818767895436,1.6010146312482985,1.4496061998509713,1.308367402618728,1.1784664185474296,1.0576511164437719,0.9512962698220798,1.2686610712988158,1.2686595344283822,1.268657733014677,1.2686575818470935,1.2686574810687041,1.2686566370496954,1.268656435492917,1.268655654460402,1.2686553899171307,1.2686547600521985
MEX,0.572878,0.43050970678839334,0.33167068353775436,0.30296768250095324,0.284343694477848,0.2668024773201471,0.24919723877785313,0.23205423061844083,0.21627567403704231,0.20140294043901677,0.18614184389012614,0.17004387612494723,0.15396277602111766,0.1389617934742746,0.12516500085739132,0.11233319915868072,0.10103724344956515,0.13474458124363126,0.13474441801251485,0.13474422668423905,0.1347442106287194,0.1347441999250396,0.1347441102817216,0.13474408887436204,0.1347440059208439,0.13474397782368452,0.13474391092568597
RCAM,0.302334,0.2271997208692987,0.1750378342975353,0.15988994396929748,0.1500612111588605,0.14080390620360592,0.13151281422687458,0.12246566242689663,0.11413859431557007,0.10628957054501953,0.09823558983008145,0.08973995378485436,0.0812532195782847,0.07333651295433118,0.06605531259573338,0.05928338221129206,0.05332198820879983,0.07111089660575552,0.07111081046120755,0.0711107094884997,0.07111070101526547,0.07111069536644264,0.07111064805755155,0.0711106367599059,0.07111059298152908,0.07111057815336919,0.07111054284822657
BRA,1.57743,1.1854163133847266,0.9132612638868309,0.8342270281062962,0.782945538107925,0.7346454773950469,0.6861691326344334,0.6389655476461781,0.59551900491248,0.5545666622504587,0.5125449551346041,0.4682189078927373,0.4239393060634056,0.38263382758654546,0.3446441079993905,0.30931150846930366,0.2782078888256271,0.3710216569516394,0.3710212074917894,0.3710206806658996,0.37102063645673405,0.3710206069839569,0.3710203601494491,0.37102030120389495,0.3710200727898729,0.3710199954238332,0.37101981121897654
RSAM,1.38348,1.0396656341273471,0.8009729074267339,0.731656180524333,0.6866799116674286,0.6443184959500576,0.6018024708653226,0.5604027157195782,0.522298062618511,0.48638093981366176,0.44952593429161486,0.41064991453912003,0.37181462958901523,0.33558779013295925,0.3022690265400028,0.2712806817019533,0.24400135031822553,0.32540337254867346,0.3254029783513314,0.3254025163003485,0.32540247752683943,0.3254024516778333,0.3254022351924078,0.32540218349439565,0.32540198316459895,0.3254019153109581,0.32540175375467034
NAF,0.583268,0.4383176446975667,0.33768602782040663,0.30846245489784213,0.28950069297600095,0.2716413395898735,0.2537168036955178,0.2362628814238926,0.22019815710192675,0.2050556842189514,0.1895178048417047,0.17312787633605362,0.15675512141203757,0.14148207359359793,0.1274350554919004,0.1143705298630518,0.10286970508963683,0.13718837590693012,0.1371882097153731,0.13718801491707266,0.13718799857036212,0.13718798767255508,0.1371878964034213,0.13718787460780724,0.1371877901498029,0.13718776154305948,0.1371876934317656
WAF,1.817,1.3654497768015366,1.0519615554936648,0.9609241044414903,0.9018543090610041,0.846218743416063,0.7903801208273998,0.7360075566415659,0.6859626303075104,0.6387907072320694,0.5903870114550729,0.539329007081838,0.4883245019539427,0.4407458110500961,0.39698645533233956,0.3562877661060869,0.3204603272387138,0.42737005805717443,0.42736954033623126,0.4273689334993879,0.4273688825760165,0.42736884862710206,0.42736856430494474,0.42736849640711605,0.42736823330303025,0.4273681441871302,0.4273679320064157
EAF,0.283526,0.2130657751334246,0.16414884534006427,0.149943295341705,0.1407260015579693,0.13204458747704054,0.12333148824309817,0.11484715382738393,0.10703810716596981,0.09967736602018697,0.09212441816720472,0.08415729007258402,0.07619851003907185,0.06877429654583904,0.0619460548896846,0.055595401856353546,0.050004862267850066,0.06668713433171075,0.06668705354615867,0.06668695885489678,0.06668695090877691,0.06668694561136364,0.06668690124552766,0.06668689065070114,0.06668684959574846,0.06668683569003868,0.06668680258120584
SAF,0.507151,0.3811167967829808,0.29361769665942083,0.26820782635751583,0.25172059146648174,0.23619189980308186,0.22060653200756009,0.20543036233259596,0.19146209902206066,0.17829573250602712,0.1647855603998083,0.1505345323448328,0.13629843670360156,0.12301853539893633,0.11080466582732601,0.0994450725748311,0.08944511580596641,0.11928516913250088,0.11928502462909193,0.11928485525214536,0.1192848410386953,0.1192848315630619,0.11928475220463239,0.11928473325336562,0.119284659817207,0.1192846349436694,0.11928457572096078
