Region,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
CAN,0.0,0.0029566712995070877,0.01790618851866512,0.023558646606742357,0.02782943780449232,0.03028794561775712,0.032524364474784066,0.03713675426326524,0.04389880801213979,0.05132665799766154,0.05786478206121598,0.06206990672804665,0.06436121289673312,0.06615231329347465,0.06928240016934288,0.07511796424924731,0.0818828266390155,0.06911626886538436,0.07109986187459534,0.07268798363065518,0.07390123292864786,0.07467336255411824,0.07503444537034427,0.07503603225669699,0.07471798086920309,0.07409497986642495,0.07310862444075202
USA,0.0,0.027375036326289716,0.14886124341230114,0.2142743049687344,0.24980165238570445,0.2887880757098979,0.32877767588823015,0.3664929595634558,0.40314691647533596,0.4406800845510982,0.4782976448047521,0.5154884634359472,0.5547762390512087,0.5984922358963215,0.6415138283929448,0.6767387109298765,0.7025362059411141,0.5866238371847019,0.5783659685720489,0.5696418460580566,0.5606541360179544,0.5518227043580851,0.5430978280727898,0.5343765284607874,0.5256969037225193,0.5170749798982316,0.5083724365562429
MEX,0.0,0.0017304218741129274,0.015311918878373437,0.02055074109690503,0.02592535002565667,0.031090455043028143,0.036298282607266724,0.04234111615082837,0.04979546298366986,0.05895804253916366,0.06895026230954203,0.07844228584794963,0.087186885632638,0.09556511364726333,0.10461135311944236,0.11517715043082347,0.12591636517277746,0.1104013258452869,0.11318586501531934,0.11519811471100416,0.11655645030964062,0.11735461083380053,0.11763087529759293,0.11741663255933854,0.11677154579241716,0.11572889332123674,0.11420217204536567
RCAM,0.0,0.0011376112583113898,0.007063173543102989,0.009513825911020554,0.012289846220118113,0.01630187059945279,0.021960166079613312,0.02943008152022456,0.038609065146152505,0.04925116486215685,0.06099979385351733,0.07337901325696566,0.08621577607663249,0.09941375779156696,0.1125890582137519,0.1252193257332853,0.13686937537448543,0.11923565873492935,0.12339436971629132,0.12637869599445153,0.12840126331716312,0.1297477554397641,0.13044847900865716,0.13049922413590767,0.1299788338130982,0.12893563279853484,0.12725193067199095
BRA,0.0,0.0017330534048815036,0.010726777683984563,0.04876810804721679,0.07256618257604099,0.08732383764900892,0.09614102982676279,0.09618574673263014,0.09180964644533762,0.09025807403175304,0.09794492722544175,0.11875848733509055,0.1387180789748158,0.1407873686964343,0.1355172014783017,0.13976796063298086,0.14914274362643304,0.12963899131298928,0.1267116440218467,0.1240284140533202,0.1215600890926379,0.11928489005596354,0.1171728008700931,0.115195179517325,0.11333405831705448,0.11157110612566108,0.10988771603335176
RSAM,0.0,0.0021550944488941508,0.018062658841198606,0.048094634180283376,0.05867662643590056,0.07819614593554089,0.0988142902712601,0.10809473851829376,0.11271637269813656,0.1257972891186046,0.14746883402406125,0.17255219651729614,0.19546853250161467,0.21144247613884642,0.22403816280867883,0.23863788332078814,0.253108480305094,0.22588670648737694,0.22154713703419332,0.21739650958622353,0.21344771865218398,0.20967002096063575,0.2060497083890321,0.20258056714846684,0.19925230813812123,0.19604989078362275,0.19293697796039846
NAF,0.0,0.008019756186395374,0.014186941964531647,0.019223705602172486,0.023725378454372704,0.028433492487289116,0.034289118630756454,0.04254652565944317,0.053376836172862346,0.06631642497059359,0.0802735933687043,0.09395211450879792,0.10764636141913825,0.12218947885313605,0.1374459699385066,0.1528127208379239,0.16739017750974866,0.134204419490471,0.14415686777747633,0.15216174323245785,0.15830888641500812,0.16292787938416436,0.1659995608461268,0.16748105393939283,0.1675191844864687,0.16621292050905612,0.16332764838864983
WAF,0.0,0.032322413649567755,0.046836720102344305,0.04586777024453901,0.04453578734872006,0.053766664127132956,0.06512346666130836,0.06435259585865477,0.06357777835406234,0.08577242089537689,0.13328037402194856,0.19797442448813957,0.27713305842076374,0.3694461569459632,0.4751415835458892,0.593930853307827,0.7196181335612499,0.7323172445187071,0.7861223159264455,0.826965773994248,0.8571580250021533,0.879247485010294,0.8939210064226512,0.9015804417313549,0.9031990407562527,0.8993637975243934,0.8892332294820621
EAF,0.0,0.0058830141078192386,0.00667729464911652,0.007961344604273595,0.008899794242362874,0.010346697242899088,0.012556437705963682,0.01567740090123365,0.020517885878464117,0.028477095279533803,0.04142960856306413,0.06160153435028183,0.09052613227836129,0.1283939126469817,0.17176640486495506,0.21586524283911823,0.2599158375892058,0.2401970744545439,0.27069452050086956,0.29461115018996276,0.3129523077851027,0.32723162735552547,0.33766379841782834,0.34427982051022943,0.3475483619697119,0.34778188988484937,0.34448638412375926
SAF,0.0,0.001655954993783815,0.013483843977624267,0.017539912508628443,0.021030969505093117,0.026148425467507508,0.03241680281510451,0.03863135083227684,0.044584789941626464,0.05043524239284107,0.05619125317380855,0.06186761439677491,0.06740573178459021,0.07273411988050874,0.07774910194949493,0.08226674670531214,0.08595492592978686,0.07391381513145198,0.0726480184042079,0.07138220433479098,0.07013036082763335,0.06891069936285288,0.06771525851968538,0.06653482117801021,0.06536961568412436,0.06421695642342831,0.06305762024589351
WEU,0.0,0.014922447239027253,0.08783141260258501,0.10744271872993102,0.12675229005931526,0.15419651314396574,0.18899824702635312,0.2273684510990489,0.26680560650950313,0.3057627742071356,0.3472319857750237,0.3945468775145568,0.4393667683923037,0.47188035939133477,0.5010297513964028,0.5389129287293413,0.5785809399975901,0.48013926649650884,0.4906652183451746,0.4989404227655142,0.5051123362627127,0.508930361956673,0.5105076808474098,0.5100591083369352,0.5077953284356269,0.5037850800704041,0.4976380356592778
CEU,0.0,0.002701902138320284,0.020055498105734277,0.025901672280192637,0.03190218516716012,0.03815810117780082,0.044613854751299795,0.05142788811718523,0.058532105573620534,0.06565872575528817,0.07245721578864996,0.07849062008874402,0.08274547443049814,0.08450642571911349,0.08565891269612924,0.08835839155865936,0.09125295483857132,0.07823491506042929,0.07471818253784512,0.0717335086987873,0.06919384909597624,0.06688647263746231,0.06480262225093276,0.06296758759928767,0.06135290047789873,0.059926850273140354,0.05869007814482269
TUR,0.0,0.005486845846030309,0.013101830384448164,0.016940768997878525,0.020079144635287875,0.0239066712667946,0.02873532491795424,0.034564113091773124,0.04115138630342295,0.04810992802518845,0.055250446849989227,0.062497555839175725,0.0698917324293324,0.07733217269776135,0.08373493628509891,0.0879039499031775,0.09020749352576142,0.0776556641414053,0.07485379191889549,0.07214897626889606,0.0695935438731194,0.06730400606495379,0.06525353643045621,0.06339560730757232,0.0617163405558441,0.06020769290476657,0.05886189853882015
UKR,0.0,0.001074399280536879,0.0098480144135405,0.013630768671152487,0.017698018994970588,0.021058444076831613,0.024191375501617752,0.028206636503737195,0.03257896246952749,0.03621797679899539,0.039327291212846255,0.04261230442086218,0.04596845707292584,0.049075686010060265,0.05213312006323372,0.05536512341946626,0.05831390384287048,0.0495834070634397,0.049266695622522824,0.04889805015384341,0.04848744790532242,0.04802978040928428,0.04752439735758902,0.04697409268598396,0.04638413346514138,0.045753639765904984,0.04506098135224112
