Region,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
CAN,0.0,0.0015251030083367314,0.013108756559891492,0.017871072439906398,0.02143395343968787,0.022566757907900886,0.023710667270470484,0.028143922012601637,0.03496395013397267,0.04187636592045755,0.04731747032493226,0.05019884533029822,0.05137845359998469,0.05247338641951438,0.05519217062885461,0.06069930429523505,0.06719266395170999,0.055759762405371525,0.05793400605973929,0.059733070841591074,0.061167977440969586,0.06216632332961909,0.06275531085579109,0.06298421626382053,0.06289051206983505,0.062487978490441944,0.0617203961822634
USA,0.0,0.006152810443587169,0.07464799046815693,0.1217945066963346,0.1486098610521941,0.17988197767466046,0.21383743315936937,0.24822588306121038,0.2812661389485703,0.31244350981784136,0.3431937568570617,0.37568231435910715,0.41351692589481553,0.45900075377574484,0.5062307402592356,0.5478436682080496,0.5820967792803527,0.4757105639580006,0.47430786767339717,0.4716191294948518,0.46791261019324026,0.4637225625062984,0.45903318586168823,0.45376022019067636,0.44799555107437855,0.44179655347841995,0.4349864989713484
MEX,0.0,0.0013942997811764528,0.01478761780594094,0.020924852081483862,0.027215412412088556,0.03242093099334948,0.037365930736586006,0.04353338634002285,0.05118820758253384,0.06008317375263506,0.06911341810950392,0.07700896339374776,0.08391932076145395,0.09056951427314738,0.09807745911098695,0.10725668587240816,0.11669978345492546,0.10249804421554636,0.10484332118895517,0.10654006711776524,0.10768019461216734,0.10832782879780048,0.10851518266655308,0.10827249510660196,0.10765063965073546,0.10667762259447469,0.10527602725786105
RCAM,0.0,0.0012770442286477405,0.007853806404745586,0.010712290779174061,0.014054888004737467,0.019024119445334515,0.026085574744482847,0.03533168402059082,0.046023909418618364,0.05714985547625559,0.06818994188238453,0.0788176763333602,0.08919085395304169,0.09952570294170345,0.10948964110703685,0.11863546455414911,0.12681106048889348,0.11173773723594582,0.11447898900417769,0.11634144109065303,0.11748662608358987,0.11814195639935428,0.1183245483493585,0.11802628441384744,0.11730567918664525,0.11619985400581215,0.11461377537374888
BRA,0.0,0.0012342957473485212,0.011441733121273005,0.05408952596542569,0.08372616479196845,0.10112364297325202,0.1082048975224581,0.10236791687215559,0.09020540982062401,0.08228305863335694,0.08811698167760289,0.1121429390851562,0.13442669565802112,0.13389621797811846,0.12538455781555266,0.1296587167954979,0.14049697454540894,0.11623626330461365,0.11235869379875224,0.10897164060862051,0.10599872278637079,0.1032778190708864,0.1007997445309726,0.09857868468064147,0.096590595122231,0.09480717302886214,0.09323446122657826
RSAM,0.0,0.003322765202157224,0.021418851293408828,0.05031664078481632,0.06183267421556097,0.08668645544524352,0.11120833586770504,0.11789544753268164,0.11743617197717221,0.12768442477842246,0.14805540403321915,0.17159993018471859,0.19191295436417316,0.20434484305833678,0.21364262007752435,0.22587868520169335,0.2385413267350281,0.21193696473527623,0.20652599305735864,0.20156491921240982,0.19701540408685608,0.19277738458297178,0.18882988749844398,0.18517137183364718,0.18177574412144984,0.178617517101742,0.17568044435975808
NAF,0.0,0.009227500561513372,0.019034378270585756,0.025704269912921046,0.030973429481645574,0.03590482964980806,0.04253250833126811,0.05301075894889387,0.06661260400745635,0.08157094940635479,0.09633283490762423,0.10968805743291343,0.12264861100472882,0.1366564722854286,0.15151069684793722,0.16645288416538673,0.18055867797804598,0.14788893227098765,0.15770221424420527,0.1655634006196557,0.17155817253135855,0.17601515436927073,0.17891454154305644,0.1802125566266975,0.1800587311683116,0.17855191653354477,0.17545442381589493
WAF,0.0,0.04918645765917807,0.10605442613075458,0.10424676771214068,0.09061630262447051,0.10403569274865267,0.11968164807439458,0.10316021623975087,0.0873220366691165,0.11960731344937556,0.1926636210834844,0.2826723827667615,0.38283058011985666,0.49130881751012656,0.6078000008251553,0.731579114150497,0.858442654354163,0.8760399608871535,0.9345690774563795,0.9795185834415058,1.0131401898993349,1.0381329797990815,1.0550406423340821,1.064087673400178,1.066241597936069,1.0620827175866112,1.0505531062630158
EAF,0.0,0.009333681832577266,0.02043680618837465,0.02480983261551733,0.0255376597465189,0.026971771538730004,0.03011462397099876,0.035247385364319615,0.04355586208595462,0.0568060168237645,0.07737575676750498,0.10757383584624496,0.14806740460531234,0.19763696166234612,0.2496837101532112,0.29737740182136674,0.3423269457967392,0.3235679487437325,0.35618370999869764,0.3816953503454641,0.40117392342849284,0.4163224241792708,0.42730898843539344,0.4340909222429513,0.4371534147802629,0.4368220947699169,0.4325124941055496
SAF,0.0,0.001987819013798193,0.014231191328028822,0.01809397165463024,0.021661053994006012,0.027563023279645882,0.03496616679124719,0.04218452558806764,0.04860928926094013,0.05411060404918361,0.05899337824441001,0.06367632819237416,0.06835049082620746,0.0730852642804921,0.07773691253376053,0.08206539233184894,0.08566310379740846,0.07305500264922579,0.07154153549476569,0.07006005365413048,0.06862333376634573,0.06724325339329898,0.06591430142181767,0.06463062787186885,0.06339185900082367,0.06219435717810208,0.061024506279391655
