Region,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
CAN,0.0,0.0058250561837728245,0.021467692363482827,0.026919896174899555,0.030770737125053294,0.03206541201349667,0.03325269458792051,0.0376422094188903,0.044380853383769396,0.051155672499622815,0.05633647347755806,0.05880792106314283,0.059476236598615534,0.06002833827149775,0.06220155311993305,0.06715829669555666,0.07311082002170387,0.06258431132476396,0.06461001562947688,0.06626711312559622,0.06756678628177115,0.06843617736182647,0.0689022974140356,0.06901448725423737,0.06881014477475587,0.06830271207162471,0.06743531364561733
USA,0.0,0.056280071019215214,0.1726254163100892,0.22834456586471485,0.2591039565504784,0.29303396345547167,0.32838071813965475,0.36315906719079966,0.39608548240384356,0.42634630068859075,0.4545769212122137,0.4826240951350756,0.5146548338529782,0.5537834463557965,0.5943436396700634,0.6288994470210477,0.6561042456562863,0.5607893555951932,0.5573187421101963,0.5526595764749048,0.5470858914344864,0.5411361345211596,0.534791952888021,0.527967268855117,0.5207519593302484,0.5131989645596988,0.5051276536377675
MEX,0.0,-0.00038065507364106236,0.011356254344025658,0.017265527145034525,0.023522237893753944,0.028763453798707407,0.033804093756288005,0.04010690216907378,0.04789942774725146,0.05692117398401666,0.06608023437929354,0.07411401337706774,0.08117407855693448,0.0879792824511863,0.0956380363629215,0.10496358504029939,0.11455072579991582,0.09996323232769234,0.10231010545025389,0.1040123539354233,0.1051621182707745,0.1058229670096172,0.10602739029912607,0.1058057498651404,0.10520872211886009,0.10426410556054051,0.10289570069969264
RCAM,0.0,-0.0018276308788617317,0.0018763841964258903,0.0043199300329184055,0.00754697511692073,0.012490261777580898,0.01960146812468408,0.02894510153959577,0.0397426072253821,0.05098967513608669,0.062213026562801366,0.07310760977974948,0.08380455638274098,0.09447921069825713,0.10478859268955057,0.11429236273677344,0.12282410350236384,0.1071294953604745,0.1099597436707934,0.11190851340288259,0.11313709076371403,0.11387264241865423,0.11413247378542911,0.1139086056075819,0.11325946995524533,0.11222239258112737,0.11070294173320908
BRA,0.0,0.007196048431908456,0.023512152431900562,0.06771683499454514,0.09841392011097544,0.11676354264076133,0.12469213450732106,0.11963746928992977,0.10823954295626492,0.10098599664874183,0.1072323228102894,0.1313132416307417,0.1533389020018585,0.1523463312645657,0.14318805346036673,0.14660741732213417,0.1565037196041391,0.13529804382299412,0.13160488735549727,0.12833906288162028,0.12542763088610148,0.12272348037149583,0.12021446083774398,0.11791014360540322,0.11579025266756135,0.11382880697916789,0.11201955618407326
RSAM,0.0,0.00562738049525835,0.02598913229715102,0.05540133653635329,0.06726567982495413,0.09245288022174017,0.11728178107380628,0.12424925942014779,0.12405443449034456,0.134519855933859,0.15500813005020198,0.1785403541009647,0.19873028621824745,0.21096838372887364,0.220009443914706,0.2319176721310713,0.24422434818259514,0.2186804013893629,0.2133118076543727,0.20837373871914866,0.20382898628754692,0.19958236724465733,0.19561197749350356,0.1919146080669058,0.18846558250639917,0.18523993999465205,0.18221750594263386
NAF,0.0,0.0019806925553672514,0.004704571298280261,0.00998317702084961,0.014552027020816132,0.01897620173595861,0.0252819242842875,0.03558164278135542,0.04907867728020731,0.06406045031430291,0.07911177744029438,0.09307962610853171,0.10686495309635397,0.12176232729912478,0.13754900170984435,0.15349620516835463,0.1686190644489175,0.13402893775138294,0.14404873367107576,0.1521173533420064,0.1583189647405383,0.16297955090371524,0.16607973301553397,0.16757716457793276,0.16762048639781726,0.16630897259521177,0.16340754156783302
WAF,0.0,0.029869529604933196,0.06254148999900125,0.05051653720604737,0.028109090538877862,0.03295629939162334,0.04054729105257274,0.01655795302585092,-0.0064963631329226085,0.0190984937127906,0.08698766834127142,0.17411545538257955,0.27347173202816966,0.3825804267814079,0.5010582935610878,0.6283492126446473,0.7594642465696478,0.756402079135885,0.8121100484960297,0.8548508663633909,0.8868491350160809,0.9106774960604824,0.9269033392916679,0.9357925173494124,0.9382747417233575,0.9349100948233227,0.9247471945177193
EAF,0.0,-0.014653521030499335,-0.02957348539732764,-0.03296369521064809,-0.0378712097552638,-0.04153664831203629,-0.04290553690792029,-0.04182232312748954,-0.037355265085569,-0.027434911992490832,-0.008924571386668231,0.0209701667205337,0.06266382371275965,0.11438106427049904,0.1694167716226093,0.2210409226841597,0.2703086848530154,0.23789196532874862,0.26975972719850166,0.2947976861148447,0.3140607304736265,0.3291859477779263,0.3403546971778745,0.3475445306470174,0.3512234097825552,0.3517083412885099,0.34846775003864633
SAF,0.0,0.004882403274207565,0.019945670147115017,0.024381393314898827,0.028260645147271675,0.034399710394751315,0.04196337443039426,0.049282360026093666,0.05578297687195416,0.0613214523161709,0.06615341261900735,0.0706725047558991,0.07509124510706541,0.07952100345103454,0.08383502128639302,0.08778989146139504,0.09100309313390947,0.07933163015866614,0.07779871941393238,0.07628813719612283,0.0748133181119269,0.07338861998218245,0.07200788457019373,0.07066448439994288,0.06935874431317719,0.06808731670650293,0.0668339693205932
WEU,0.0,0.016988264421076725,0.07984386657009898,0.09453413377566183,0.11245379845306674,0.1401098854531264,0.17612231112521398,0.21616734444175842,0.2551727152246188,0.2892242786870184,0.32316788999550183,0.3624153361789797,0.3989375661436156,0.4237493242452166,0.44641732644421167,0.4786970999059223,0.5135962325251392,0.4292085872592136,0.4399103300696796,0.44852290875530487,0.4551472279744148,0.4594822180925243,0.4616372685721044,0.46182893396872976,0.4602576210641012,0.45698716998902034,0.45164960234468077
CEU,0.0,0.0028815319440560934,0.019079838894590372,0.025051794653008906,0.03176623228315698,0.03839483650670555,0.045140055772745775,0.052473180818808016,0.0597424452916291,0.06605339471739075,0.07137004871803766,0.07575581648774962,0.07841824707651747,0.07882905504844732,0.07902102467769534,0.08113319266273696,0.0836519779293172,0.07181902626110984,0.06821205800724671,0.06515794769944175,0.06257042737351882,0.060227770729979535,0.05812606420829084,0.05629676723227683,0.05471120121147415,0.0533374600030555,0.05218262992189955
TUR,0.0,0.005243775237774858,0.012904790742260405,0.016580999413164262,0.019445685220150197,0.023181639620097207,0.028311243343219224,0.034876088073240545,0.042080398966782194,0.048970196648651376,0.055510926328528484,0.061954796474038676,0.0685746869553422,0.07538729849004232,0.08118360865305779,0.08472553970438178,0.08651624295402455,0.07434933361549596,0.0713106127776458,0.06841957885498547,0.06572069367610692,0.06332396209951127,0.061199806547995145,0.05929978676566895,0.05760642005459009,0.05610958839303493,0.054805587830846485
UKR,0.0,0.0026328123431531543,0.013643798782696294,0.01917704470846787,0.02475554587401897,0.028572966345289948,0.03184729911925592,0.03647969424202672,0.04125260925536181,0.04428237485809341,0.04624312406849547,0.04846495935422287,0.050921483493853115,0.0532664384446273,0.05572031765209049,0.05850812848321358,0.06108680476749214,0.05261792264499581,0.052075078230071306,0.05150369473745772,0.05091278731481538,0.050290521899507175,0.04963881223676117,0.04896427358625347,0.04827215926484465,0.04756136801327387,0.04681421952676329
STAN,0.0,0.008176187797280271,0.017164219265998662,0.021364290666100814,0.023589959417492673,0.024739898172825653,0.026937450118366593,0.03218845738268026,0.03795071202741156,0.041269084008388475,0.04619455746880277,0.057439204657297946,0.06982911591455418,0.07636745724817715,0.07903659684287417,0.0818419663512487,0.08450401341354079,0.07265664361654045,0.07028202158330206,0.0681591594606625,0.066265915510023,0.06449061692703856,0.06283535234493831,0.061321931586684544,0.05994020323361689,0.058672593318472896,0.05751017362757262
RUS,0.0,0.030406713767987686,0.08210099301933907,0.09983147184317367,0.11219275068482662,0.12301462561870316,0.13375739677388668,0.14592713872656699,0.16107515345067985,0.17952027889614483,0.195082842151734,0.2014542877094477,0.20486114071326278,0.21352723470301468,0.22396138750666833,0.23016918984662801,0.23221927130779263,0.2032283875012453,0.19261647232154075,0.18298169270964662,0.1743319100427761,0.16677013697566573,0.16020816271346106,0.15452828084756753,0.14964745112948988,0.14551069679319942,0.14214418301067155
ME,0.0,0.019695073900209435,0.06735970728639407,0.08914019784636923,0.11193734245529416,0.13521855888207993,0.1607481210950614,0.19087346809147743,0.22382818510496064,0.2568442194978793,0.28950499251895023,0.3224627392237313,0.3581367793697203,0.39834872051683484,0.43929808215198124,0.47615572403802425,0.5081648125598528,0.4254317477128534,0.439640365598612,0.4499904585666121,0.4570460744253394,0.46182074005089124,0.46435307064039455,0.46455635584088084,0.4626967927798462,0.4589438830256195,0.4528760615789597
INDIA,0.0,-0.02972236402277311,-0.021899963467166897,0.015149279837111673,0.06431836864989632,0.13391550686941678,0.22209344693669802,0.3226543510115612,0.43525426534882167,0.5605258392520667,0.6886868493728947,0.8077470513330174,0.9208150672977953,1.0329895448587294,1.1355020580048851,1.2181843557980967,1.283176026666543,1.1014945358098431,1.0955754501640182,1.085937656925813,1.0735947959241305,1.0602295424785675,1.0457867963252963,1.0299526875683178,1.0129671083154161,0.9949592748258704,0.9754234962761479
KOR,0.0,0.009367453714624666,0.03323730141760158,0.03898690625608292,0.04268363329257845,0.04618287383327535,0.049566811142700215,0.05257832438744371,0.0551224572194717,0.0571079939592469,0.05819476957792641,0.058107947059007334,0.05729237566693933,0.05642018819630116,0.05594176314948341,0.05603302868478695,0.05589349972991453,0.0486380072302413,0.0443751346310498,0.04078238853507438,0.037764569559993126,0.03515854547942196,0.03293692614495577,0.031093698737828787,0.029582807206033807,0.02836723442709315,0.027465944470853675
