,Region,value,Burden sharing
1,CAN,0.010853594,GF
1,CAN,0.013263903,IEPC
1,CAN,0.008494627,PCC
1,CAN,0.013697511,AP
1,CAN,0.019439297,GDR
1,CAN,0.010708104,none
23,USA,0.009888492,GF
23,USA,0.013162295,IEPC
23,USA,0.009409366,PCC
23,USA,0.013629965,AP
23,USA,0.022614959,GDR
23,USA,0.011113321,none
10,MEX,0.009353655,GF
10,MEX,0.008873696,IEPC
10,MEX,0.010156804,PCC
10,MEX,0.009617652,AP
10,MEX,0.00913832,GDR
10,MEX,0.009560713,none
13,RCAM,0.012520615,GF
13,RCAM,0.011293894,IEPC
13,RCAM,0.010291372,PCC
13,RCAM,0.012135547,AP
13,RCAM,0.009747425,GDR
13,RCAM,0.010873377,none
0,BRA,0.014159776,GF
0,BRA,0.016605597,IEPC
0,BRA,0.029001854,PCC
0,BRA,0.014323684,AP
0,BRA,0.011470864,GDR
0,BRA,0.02283515,none
15,RSAM,0.013058798,GF
15,RSAM,0.013648522,IEPC
15,RSAM,0.022299974,PCC
15,RSAM,0.013068456,AP
15,RSAM,0.010309761,GDR
15,RSAM,0.018022083,none
11,NAF,0.012082409,GF
11,NAF,0.00986554,IEPC
11,NAF,0.00613331,PCC
11,NAF,0.010476258,AP
11,NAF,0.008243305,GDR
11,NAF,0.008076497,none
24,WAF,0.013437958,GF
24,WAF,0.009339495,IEPC
24,WAF,0.019017723,PCC
24,WAF,0.009912508,AP
24,WAF,0.00737027,GDR
24,WAF,0.014324498,none
4,EAF,0.011512317,GF
4,EAF,0.003697722,IEPC
4,EAF,0.015363891,PCC
4,EAF,0.007388747,AP
4,EAF,0.005768485,GDR
4,EAF,0.009880547,none
18,SAF,0.022370045,GF
18,SAF,0.025301894,IEPC
18,SAF,0.024440119,PCC
18,SAF,0.021707846,AP
18,SAF,0.018765552,GDR
18,SAF,0.024745396,none
25,WEU,0.008489718,GF
25,WEU,0.009516187,IEPC
25,WEU,0.005469827,PCC
25,WEU,0.010448615,AP
25,WEU,0.017120701,GDR
25,WEU,0.007443538,none
2,CEU,0.009038238,GF
2,CEU,0.010517142,IEPC
2,CEU,0.008391023,PCC
2,CEU,0.010915448,AP
2,CEU,0.013174835,GDR
2,CEU,0.0094196,none
21,TUR,0.011564988,GF
21,TUR,0.011412064,IEPC
21,TUR,0.007220883,PCC
21,TUR,0.011617915,AP
21,TUR,0.012000362,GDR
21,TUR,0.009285372,none
22,UKR,0.021719655,GF
22,UKR,0.025219952,IEPC
22,UKR,0.017148469,PCC
22,UKR,0.021558525,AP
22,UKR,0.016710966,GDR
22,UKR,0.020999525,none
20,STAN,0.019467096,GF
20,STAN,0.021485259,IEPC
20,STAN,0.008668272,PCC
20,STAN,0.018635695,AP
20,STAN,0.015566345,GDR
20,STAN,0.014861616,none
17,RUS,0.018647777,GF
17,RUS,0.023773514,IEPC
17,RUS,0.009566082,PCC
17,RUS,0.021403462,AP
17,RUS,0.021234264,GDR
17,RUS,0.016280927,none
9,ME,0.018900323,GF
9,ME,0.019330688,IEPC
9,ME,0.011394813,PCC
9,ME,0.01720388,AP
9,ME,0.01561788,GDR
9,ME,0.015251347,none
5,INDIA,0.016551521,GF
5,INDIA,0.013032083,IEPC
5,INDIA,0.015422315,PCC
5,INDIA,0.012787843,AP
5,INDIA,0.00924504,GDR
5,INDIA,0.014413686,none
8,KOR,0.009640775,GF
8,KOR,0.013644168,IEPC
8,KOR,0.009257351,PCC
8,KOR,0.013573067,AP
8,KOR,0.00807804,GDR
8,KOR,0.011242505,none
3,CHN,0.008503391,GF
3,CHN,0.011288509,IEPC
3,CHN,0.010424052,PCC
3,CHN,0.011487316,AP
3,CHN,0.01000544,GDR
3,CHN,0.010749078,none
19,SEAS,0.015763972,GF
19,SEAS,0.014463108,IEPC
19,SEAS,0.013970525,PCC
19,SEAS,0.013596585,AP
19,SEAS,0.010787102,GDR
19,SEAS,0.014268943,none
6,INDO,0.013876066,GF
6,INDO,0.015088416,IEPC
6,INDO,0.014173633,PCC
6,INDO,0.014066236,AP
6,INDO,0.00986344,GDR
6,INDO,0.014595121,none
7,JAP,0.008572985,GF
7,JAP,0.011520737,IEPC
7,JAP,0.009800817,PCC
7,JAP,0.011923148,AP
7,JAP,0.022514585,GDR
7,JAP,0.010573686,none
12,OCE,0.010340402,GF
12,OCE,0.011965585,IEPC
12,OCE,0.013458491,PCC
12,OCE,0.012302435,AP
12,OCE,0.017603854,GDR
12,OCE,0.012633409,none
16,RSAS,0.019402558,GF
16,RSAS,0.012335102,IEPC
16,RSAS,0.017326156,PCC
16,RSAS,0.012807296,AP
16,RSAS,0.009743199,GDR
16,RSAS,0.01520901,none
14,RSAF,0.019204809,GF
14,RSAF,0.015829954,IEPC
14,RSAF,0.014825707,PCC
14,RSAF,0.014029998,AP
14,RSAF,0.010396516,GDR
14,RSAF,0.015376798,none
