,Region,value,Burden sharing
0,BRA,49.70749764679138,GF
1,CAN,78.36226266005743,GF
2,CEU,46.986528744744,GF
3,CHN,63.70586534838385,GF
4,EAF,4.15749269793477,GF
5,INDIA,12.059134009965234,GF
6,INDO,41.46601581953581,GF
7,JAP,68.28841147878765,GF
8,KOR,81.55789171408796,GF
9,ME,40.6691317709501,GF
10,MEX,28.485593529470336,GF
11,NAF,18.053422630440657,GF
12,OCE,62.86631218045916,GF
13,RCAM,20.430284914205735,GF
14,RSAF,21.927959242744034,GF
15,RSAM,39.20147031283216,GF
16,RSAS,4.7207180854013195,GF
17,RUS,85.63049477776727,GF
18,SAF,58.06967962238809,GF
19,SEAS,24.273767664490002,GF
20,STAN,46.77298916074487,GF
21,TUR,31.94648923374587,GF
22,UKR,56.50926878713888,GF
23,USA,94.49057425471715,GF
24,WAF,16.052762451443655,GF
25,WEU,48.387072109628676,GF
0,BRA,33.98416700181218,IEPC
1,CAN,33.98416700181217,IEPC
2,CEU,33.98416700181218,IEPC
3,CHN,33.98416700181218,IEPC
4,EAF,33.98416700181218,IEPC
5,INDIA,33.98416700181218,IEPC
6,INDO,33.98416700181218,IEPC
7,JAP,33.98416700181218,IEPC
8,KOR,33.98416700181217,IEPC
9,ME,33.98416700181218,IEPC
10,MEX,33.98416700181218,IEPC
11,NAF,33.98416700181218,IEPC
12,OCE,33.98416700181217,IEPC
13,RCAM,33.98416700181218,IEPC
14,RSAF,33.98416700181218,IEPC
15,RSAM,33.98416700181218,IEPC
16,RSAS,33.98416700181218,IEPC
17,RUS,33.98416700181218,IEPC
18,SAF,33.984167001812175,IEPC
19,SEAS,33.98416700181218,IEPC
20,STAN,33.98416700181217,IEPC
21,TUR,33.98416700181218,IEPC
22,UKR,33.98416700181217,IEPC
23,USA,33.98416700181218,IEPC
24,WAF,33.98416700181218,IEPC
25,WEU,33.98416700181218,IEPC
0,BRA,36.35386413608793,PCC
1,CAN,52.91621493472022,PCC
2,CEU,35.81895579552955,PCC
3,CHN,40.24538017781647,PCC
4,EAF,23.08373269895839,PCC
5,INDIA,26.036673377020875,PCC
6,INDO,35.58980692717791,PCC
7,JAP,40.67177511265611,PCC
8,KOR,46.76636521449157,PCC
9,ME,39.26999119185405,PCC
10,MEX,31.385387148541373,PCC
11,NAF,28.97679142651212,PCC
12,OCE,45.46307599501172,PCC
13,RCAM,28.61420103064178,PCC
14,RSAF,31.547603971596985,PCC
15,RSAM,34.00994345535421,PCC
16,RSAS,23.07730237953997,PCC
17,RUS,52.60580650798141,PCC
18,SAF,41.692610295412564,PCC
19,SEAS,30.654469435544705,PCC
20,STAN,39.810252218172025,PCC
21,TUR,34.123620674963426,PCC
22,UKR,39.58434503964621,PCC
23,USA,56.34293444565824,PCC
24,WAF,28.489848367773984,PCC
25,WEU,38.3167023552177,PCC
0,BRA,50.25044255295205,AP
1,CAN,46.10116203346141,AP
2,CEU,32.4021819992367,AP
3,CHN,37.847147356321116,AP
4,EAF,13.36033348240996,AP
5,INDIA,27.2490843859853,AP
6,INDO,42.05537891357565,AP
7,JAP,34.91302037414684,AP
8,KOR,44.626350066636476,AP
9,ME,48.898688697411075,AP
10,MEX,27.60978678778538,AP
11,NAF,25.76459404012205,AP
12,OCE,42.592426118320475,AP
13,RCAM,24.8715213893677,AP
14,RSAF,36.9058345496135,AP
15,RSAM,40.86255102492178,AP
16,RSAS,20.210190194772643,AP
17,RUS,65.94615682232237,AP
18,SAF,62.655820886249984,AP
19,SEAS,35.246593877760866,AP
20,STAN,50.57185185383485,AP
21,TUR,32.48246448241679,AP
22,UKR,58.6945331146894,AP
23,USA,45.86602324431993,AP
24,WAF,28.98752912616712,AP
25,WEU,28.048314138457112,AP
0,BRA,68.76508976187017,GDR
1,CAN,-34.31900752824286,GDR
2,CEU,11.787208886093005,GDR
3,CHN,55.455908096532596,GDR
4,EAF,17.752802183425928,GDR
5,INDIA,43.243974994335694,GDR
6,INDO,68.54091302149186,GDR
7,JAP,-83.5534797134591,GDR
8,KOR,108.23691422922977,GDR
9,ME,58.61367744324333,GDR
10,MEX,30.980294081377057,GDR
11,NAF,37.8583522961234,GDR
12,OCE,-25.364480528747368,GDR
13,RCAM,42.47635935334624,GDR
14,RSAF,50.124295391072096,GDR
15,RSAM,62.47587048004578,GDR
16,RSAS,28.820681737720818,GDR
17,RUS,69.36662545337447,GDR
18,SAF,82.47906916049976,GDR
19,SEAS,50.27426916547292,GDR
20,STAN,68.66158118483183,GDR
21,TUR,28.80136198172456,GDR
22,UKR,89.22203932371265,GDR
23,USA,-84.53463773252064,GDR
24,WAF,39.518284258146885,GDR
25,WEU,-56.854964018466504,GDR
0,BRA,121.80762894281875,none
1,CAN,185.73286896455852,none
2,CEU,111.61773207544798,none
3,CHN,141.01413970507693,none
4,EAF,24.083429750300986,none
5,INDIA,64.40616117928226,none
6,INDO,104.31061977229929,none
7,JAP,140.62289706925287,none
8,KOR,167.57208650793527,none
9,ME,128.26264697048407,none
10,MEX,85.93343143955025,none
11,NAF,62.557536229152404,none
12,OCE,154.29710112557387,none
13,RCAM,92.73340903877873,none
14,RSAF,64.94280620593759,none
15,RSAM,119.03372561339452,none
16,RSAS,42.827704939472824,none
17,RUS,211.97485225608784,none
18,SAF,166.09713744436306,none
19,SEAS,84.58911672111307,none
20,STAN,127.21215443657074,none
21,TUR,101.72257910750747,none
22,UKR,162.78278354983374,none
23,USA,193.6387628234997,none
24,WAF,51.51228783948534,none
25,WEU,120.77743936290025,none
